codigo,nombre,descripcion
C39,Ajuste de proceso,Ajuste de proceso
132,falla de maquina,falla de maquina
2,CORAZON DE ARENA ROTO,CORAZON DE ARENA ROTO
167,Entrenamiento,Entrenamiento
F11,Linea expuesta en cara de hielo,Linea expuesta en cara de hielo
F13,fuga en la rosca,fuga en la rosca
F14,Linea quebrada,Linea quebrada
F18,Mal maquinado,Mal maquinado
F22,WORKMANSHIP/HABIL DE OPERADOR.,WORKMANSHIP/HABIL DE OPERADOR.
